01_Alu	Alu	14298	221	89	4354652	126178	114295
02_L1	L1	3947	143	96	7536426	703699	642792
03_SVA	SVA	1021	399	704	1240723	328180	995325
04_ERV	ERV	1656	115	127	1009356	204523	1036717
05_Mixed-MEI	Mixed-MEI	2088	251	137	4625357	1690752	2230499
10_Satellite	Satellite	3619	747	1109	4148105	3066920	45077097
11_VNTR	VNTR	5852	4010	8866	737321	838607	11642589
12_STR	STR	4449	2178	910	392351	252638	879580
13_Other-LCR	Other-LCR	3882	791	682	388838	159218	2049820
20_Mixed-repeat	Mixed-repeat	848	185	336	2145808	1171839	7487870
21_Partial-repeat	Partial-repeat	5240	613	760	13853718	6197517	26833676
30_Non-rep-uniq	Non-rep-uniq	9175	501	130	788608	73912	43045
31_Non-rep-dup	Non-rep-dup	878	177	333	441803	74941	1231962
